match_id,competition,season,kickoff_utc,home_team,away_team,prediction_cutoff_at_utc,home_games_3,home_gf_3,home_ga_3,home_points_3,home_gd_3,home_pit_ok_3,away_games_3,away_gf_3,away_ga_3,away_points_3,away_gd_3,away_pit_ok_3,home_games_5,home_gf_5,home_ga_5,home_points_5,home_gd_5,home_pit_ok_5,away_games_5,away_gf_5,away_ga_5,away_points_5,away_gd_5,away_pit_ok_5,home_games_10,home_gf_10,home_ga_10,home_points_10,home_gd_10,home_pit_ok_10,away_games_10,away_gf_10,away_ga_10,away_points_10,away_gd_10,away_pit_ok_10,home_gd_5_minus_away_gd_5,home_points_5_minus_away_points_5,home_advantage,feature_source_max_available_at_utc,pit_verified,home_goals,away_goals,target
fd:FL1:2010:6,FL1,2010/11,2010-08-07 00:00:00+00:00,Rennes,Lille,2010-08-06 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,1.0,1
fd:FL1:2010:7,FL1,2010/11,2010-08-07 00:00:00+00:00,Sochaux,Arles,2010-08-06 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,2.0,1.0,0
fd:ERE:2010:4,ERE,2010/11,2010-08-07 00:00:00+00:00,Nijmegen,VVV Venlo,2010-08-06 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,0.0,0
fd:ERE:2010:3,ERE,2010/11,2010-08-07 00:00:00+00:00,Heracles,Willem II,2010-08-06 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,3.0,0.0,0
fd:ERE:2010:1,ERE,2010/11,2010-08-07 00:00:00+00:00,Graafschap,Excelsior,2010-08-06 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,3.0,0.0,0
fd:ERE:2010:2,ERE,2010/11,2010-08-07 00:00:00+00:00,Heerenveen,PSV Eindhoven,2010-08-06 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,3.0,2
fd:FL1:2010:9,FL1,2010/11,2010-08-08 00:00:00+00:00,Montpellier,Bordeaux,2010-08-07 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,0.0,0
fd:ERE:2010:8,ERE,2010/11,2010-08-08 00:00:00+00:00,Vitesse,Den Haag,2010-08-07 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,3.0,1.0,0
fd:ERE:2010:7,ERE,2010/11,2010-08-08 00:00:00+00:00,NAC Breda,AZ Alkmaar,2010-08-07 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,1.0,1
fd:ERE:2010:6,ERE,2010/11,2010-08-08 00:00:00+00:00,Groningen,Ajax,2010-08-07 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,2.0,2.0,1
fd:ERE:2010:5,ERE,2010/11,2010-08-08 00:00:00+00:00,Feyenoord,Utrecht,2010-08-07 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,3.0,1.0,0
fd:CHA:2010:11,CHA,2010/11,2010-08-08 00:00:00+00:00,Cardiff,Sheffield United,2010-08-07 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,1.0,1
fd:FL1:2010:17,FL1,2010/11,2010-08-14 00:00:00+00:00,St Etienne,Sochaux,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,3.0,2.0,0
fd:FL1:2010:12,FL1,2010/11,2010-08-14 00:00:00+00:00,Brest,Auxerre,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,1.0,1
fd:FL1:2010:16,FL1,2010/11,2010-08-14 00:00:00+00:00,Nancy,Rennes,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,0.0,3.0,2
fd:FL1:2010:15,FL1,2010/11,2010-08-14 00:00:00+00:00,Lorient,Nice,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,2.0,2
fd:ERE:2010:9,ERE,2010/11,2010-08-14 00:00:00+00:00,Ajax,Vitesse,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,4.0,2.0,0
fd:ERE:2010:10,ERE,2010/11,2010-08-14 00:00:00+00:00,AZ Alkmaar,Groningen,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,1.0,1
fd:ERE:2010:11,ERE,2010/11,2010-08-14 00:00:00+00:00,PSV Eindhoven,Graafschap,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,6.0,0.0,0
fd:ERE:2010:12,ERE,2010/11,2010-08-14 00:00:00+00:00,Twente,Heerenveen,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,0.0,0.0,1
fd:ERE:2010:13,ERE,2010/11,2010-08-14 00:00:00+00:00,VVV Venlo,Heracles,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,0.0,0
fd:FL1:2010:18,FL1,2010/11,2010-08-14 00:00:00+00:00,Valenciennes,Marseille,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,3.0,2.0,0
fd:FL1:2010:10,FL1,2010/11,2010-08-14 00:00:00+00:00,Arles,Lens,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,0.0,1.0,2
fd:EPL:2010:0,EPL,2010/11,2010-08-14 00:00:00+00:00,Aston Villa,West Ham,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,3.0,0.0,0
fd:CHA:2010:12,CHA,2010/11,2010-08-14 00:00:00+00:00,Barnsley,Crystal Palace,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,0.0,0
fd:EPL:2010:1,EPL,2010/11,2010-08-14 00:00:00+00:00,Blackburn,Everton,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,1.0,0.0,0
fd:EPL:2010:2,EPL,2010/11,2010-08-14 00:00:00+00:00,Bolton,Fulham,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,0.0,0.0,1
fd:EPL:2010:3,EPL,2010/11,2010-08-14 00:00:00+00:00,Chelsea,West Brom,2010-08-13 23:00:00+00:00,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,0,,,,,0.0,,,1.0,,False,6.0,0.0,0
